,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Morocco,2.38,2.33,71.710548,40.7,6432.599036566207,36.85342098,0.335490756,76.68,5.5,-4.0,7485.01295069865,61.7622120123071,76.7,1.0,100.0,85.4,3.9,43.0,21.75013
Mozambique,5.05,7.240000000000001,58.836552000000005,45.6,4972.968963172721,35.34428315,-0.087209576,60.854,3.5,5.0,1136.10256446235,17.5212390868424,20.5,62.9,24.198339462280302,51.1,30.5,23.0,20.883470000000003
Myanmar,2.15,4.86,93.09005,38.1,4324.8354315913875,20.14819018,-2.467334008,67.134,4.9,-3.0,5591.5968799618,25.07330424,79.6,6.4,57.0093841552734,80.6,10.5,29.0,6.694305
Namibia,3.24,4.420000000000001,90.820503,61.0,8857.582096438964,38.2070239,1.54286351,63.708,6.8,6.0,9541.80829205217,31.0333459383454,34.4,13.4,51.78242492675779,91.0,25.4,53.0,30.818944000000002
Nepal,2.02,3.370000000000001,64.66364300000001,32.8,4799.9857378609995,19.56251022,0.261589965,70.778,4.9,6.0,2442.80394231834,19.688763836629,45.8,15.0,90.7,91.6,9.5,31.0,20.952236
Netherlands,1.75,0.39,99.0,28.6,49230.30006157642,51.53351,3.410230213,82.28299999999999,12.2,10.0,48472.544541153096,93.1972789115646,97.7,0.0,100.0,100.0,2.9400000000000004,82.0,38.751886
New Caledonia,2.11,0.9109999999999999,96.93782,37.24,33430.6918320963,33.907368065,0.7045163021999999,77.55,9.51,2.8,29231.78972426314,74.00175279141,100.0,1.5299999999999998,100.0,98.5,11.6,50.9,19.769582200000002
New Zealand,1.96,0.53,99.0,28.159999999999997,51692.15508410039,35.45647,3.445404703,82.288,12.5,10.0,36085.842777197206,88.470186347099,99.15,0.41,100.0,100.0,3.16,87.0,32.830021
Nicaragua,2.12,1.72,82.471848,46.6,7082.7528197968795,35.57033,0.113044035,74.485,6.7,9.0,5321.44351591724,24.5718339595365,67.9,3.2,81.7967987060547,87.0,16.2,25.0,23.800556
Niger,7.07,8.450000000000001,19.1026,34.0,1753.0378517187446,19.96558739,-0.467373905,62.42,2.0,6.0,926.0001419596581,10.2243115586561,10.9,44.5,16.2172336578369,58.2,14.4,34.0,13.11558
Nigeria,5.32,10.02,59.56808100000001,43.0,8878.241608538547,30.61039636,-2.058687075,54.687,6.2,7.0,5338.45412665139,25.67,29.0,53.5,59.3,68.5,11.5,27.0,7.1707
North Korea,1.88,1.9,99.999237,46.52,5515.4005550087,31.871615515000002,-2.437614552,72.274,7.909999999999999,-10.0,6901.618338027877,0.0,81.9,39.78000000000001,39.244224548339794,99.7,43.4,14.0,15.795155599999998
Norway,1.83,0.26,100.0,26.8,67637.83920162448,46.35321,4.003323818999999,82.404,12.6,10.0,64800.0573263061,96.5085185390676,98.1,0.2,100.0,100.0,2.9,84.0,38.255196000000005
Oman,2.46,1.13,93.971649,36.220000000000006,71428.82228014925,38.42076702,0.806570325,77.861,9.5,-8.0,37960.7091885335,76.85,96.7,1.5,100.0,93.4,5.4,52.0,2.528637
Pakistan,3.29,7.490000000000001,56.440311,30.7,5634.097890263561,23.02741,-1.5810483290000001,67.273,5.2,7.0,5034.70775633353,15.5145577897414,63.5,4.0,99.1474380493164,91.4,20.5,33.0,9.988357
Palestine,2.178,2.09,96.668037,34.4,7062.526965206018,31.446708596,1.0593459000999998,74.053,9.1,4.5,4449.8983245299605,61.17838482745999,92.3,1.0,100.0,58.4,12.58,39.9,5.594661
Panama,2.43,1.6100000000000003,95.03823100000001,51.0,12550.28365111968,29.29444,2.205342238,78.506,10.2,9.0,22267.0368216362,54.0,75.0,2.2,93.4178009033203,94.7,9.2,37.0,14.892589000000001
Papua New Guinea,3.52,5.34,63.433491000000004,41.8,4551.923328122811,29.98026446,0.31711269,64.501,4.6,5.0,3823.19379963882,9.601538461538462,18.9,38.0,22.932153701782198,40.0,32.540000000000006,28.0,13.938857
Paraguay,2.4,2.1,95.53611,48.0,9172.460307261983,19.351189,0.696920668,74.25399999999999,8.4,9.0,8827.01005811482,61.0757562215797,88.6,1.7,98.4,98.0,11.2,29.0,11.013065
Peru,2.31,1.5,94.374352,44.3,8928.229018077927,20.19237,0.740837126,76.736,9.2,9.0,12236.7061519677,48.7276314608234,76.2,3.5,94.85174560546879,86.7,8.8,35.0,12.991545
Philippines,2.84,2.8100000000000005,96.618027,40.1,5538.726146302671,20.69499,-2.131015039,71.23100000000001,9.3,8.0,7599.188060403871,55.5,73.9,9.290000000000001,90.9816131591797,91.8,13.7,36.0,14.239059
Poland,1.29,0.47,99.78742199999999,32.1,28961.100653833764,46.3721,1.8155051930000001,78.73,12.3,10.0,27216.4448774425,75.98536594938321,97.2,0.42000000000000004,100.0,98.3,2.6700000000000004,60.0,33.786184999999996
Portugal,1.24,0.3700000000000001,95.428108,35.6,24791.460353254828,52.54629,1.939209809,82.04899999999999,9.2,10.0,27936.8960928735,73.7912139515729,99.7,0.5,100.0,100.0,3.65,64.0,34.43338
