,Population,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Brazil,211050000.0,1.69,1.4800000000000002,92.586807,51.3,17269.6967987363,43.33951,-1.1671724559999999,75.881,7.8,8.0,14103.4515313404,60.872540068126106,82.8,3.4,100.0,98.1,2.7,35.0,34.244785
Brunei,433000.0,1.84,1.05,96.656532,,100393.9473262344,33.63677888,1.976181804,75.86,9.1,,71809.250580867,90.0,,,100.0,,2.6,63.0,21.615216
Bulgaria,7000000.0,1.6,0.75,98.38858,37.4,28815.132310105648,34.796476,0.618488942,75.046,11.8,9.0,18563.3066168958,63.4101013837926,86.0,1.5,100.0,99.4,3.0,42.0,29.370559000000004
Burkina Faso,20321000.0,5.11,8.120000000000001,37.7467,35.3,,24.86854606,0.09218517400000001,61.577,1.5,6.0,1703.1016286775198,13.96,19.7,43.7,19.1647129058838,82.3,21.3,41.0,17.424552
Burundi,11531000.0,5.45,6.120000000000001,85.496094,39.2,,40.90043654,-1.595026447,61.583999999999996,3.0,-1.0,702.2253130438,5.17362677652886,48.0,71.7,7.58847713470459,75.9,,17.0,
Cambodia,16487000.0,2.47,2.92,78.34594,,4849.008253011136,19.93308126,0.025049962000000002,69.82300000000001,4.8,2.0,3645.0695206009295,33.999999128807204,42.4,,49.770656585693395,75.5,18.5,20.0,15.77644
Cameroon,25876000.0,4.51,8.4,74.98558,46.5,3975.86287198002,21.99452399,-0.931839823,59.292,6.3,-4.0,3364.9260563511302,23.202971974864603,45.8,23.8,60.0747680664063,75.6,7.3,25.0,13.376192000000001
Canada,37411000.0,1.56,0.51,99.0,34.0,88431.48763191687,43.141494,2.791056339,82.434,13.3,10.0,44017.5909063335,91.16,99.8,0.5,100.0,99.8,,81.0,32.296361
Cape Verde,550000.0,2.24,1.74,88.465424,47.2,2462.574881074259,33.84400726,1.496484765,72.98100000000001,6.1,10.0,6222.55416600772,57.1621463484891,72.2,8.1,92.6115875244141,91.7,,57.0,20.71022
Central African Republic,4745000.0,4.65,12.15,36.752609,56.2,,16.39009559,-2.056797688,53.283,4.3,0.0,661.239967689311,4.0,21.8,66.3,13.985112190246598,68.5,61.8,26.0,9.653466
Chad,15947000.0,5.65,12.32,40.018242,43.3,,26.55153843,-0.515494095,54.239,2.3,-2.0,1768.15341090621,5.0,12.1,38.4,8.83089828491211,50.8,39.7,19.0,6.4909300000000005
Chile,18952000.0,1.75,0.7400000000000001,96.627548,47.7,23595.944308744798,23.388185999999997,1.1275671520000001,80.181,10.3,10.0,22767.0371912423,82.3274869338464,99.1,1.3,100.0,99.0,3.3,67.0,17.358608
China,1433784064.0,1.64,0.9300000000000002,96.357452,42.2,26013.16882503468,24.4052,-1.2988128540000001,76.91199999999999,7.8,-7.0,15308.712122905,54.3,76.5,0.7,100.0,95.5,8.7,39.0,23.790354
Colombia,50339000.0,1.8,1.47,94.577057,51.1,8275.712381536701,30.243920000000003,-0.892362842,77.28699999999999,8.3,7.0,13254.949218477901,62.259880316284104,81.1,4.5,99.00445556640629,91.4,6.5,36.0,19.400126999999998
Comoros,851000.0,4.14,6.9,78.13739,45.0,743.1657367289049,22.565753100000002,2.2764126940000002,64.321,4.8,9.0,1413.890036328,7.9383227708029995,35.8,18.1,77.8442153930664,90.1,,27.0,11.216134
Congo,5381000.0,4.48,4.75,79.311172,48.9,6274.752707858039,26.22464809,-1.285834248,64.57,6.3,-4.0,4881.40574395234,8.121949323466001,15.0,37.0,56.5661697387695,76.5,37.5,19.0,17.503683
Costa Rica,5048000.0,1.74,0.9,97.647247,48.2,11992.175591556661,20.55351,1.586318505,80.279,8.8,10.0,15524.994563054199,71.5816646195022,94.5,1.3,100.0,97.8,4.4,56.0,13.515192
Cote d'Ivoire,25717000.0,4.72,8.88,43.26532,41.7,7161.792542390941,28.49799873,-0.43904551299999994,57.783,5.2,4.0,3601.00590113374,43.8399208514876,22.5,28.2,64.3,81.9,20.7,35.0,16.470285999999998
Croatia,4130000.0,1.44,0.46,99.272591,32.2,22071.88693864585,44.78755815,2.178475169,78.488,11.3,9.0,22669.796546633,67.0961920368478,97.0,0.7,100.0,99.6,2.6,48.0,35.163045000000004
Cuba,11333000.0,1.72,0.54,99.710716,,11893.639373948794,,-0.227479039,78.80199999999999,11.8,-7.0,,42.98,93.2,,100.0,94.9,2.8,47.0,38.551497999999995
Cyprus,1199000.0,1.33,0.27,99.059776,35.6,19912.00318664522,48.4860283,1.5230867369999999,80.982,12.1,10.0,32415.132230079398,80.743188971932,100.0,0.0,100.0,100.0,4.6,59.0,24.526439
Czech Republic,10689000.0,1.59,0.33,99.0,25.9,44891.83447295332,44.40663097,2.9882536789999996,79.376,12.7,9.0,32605.9063265661,78.7191728513432,99.1,0.0,100.0,100.0,,59.0,34.878257
Democratic Republic of Congo,86791000.0,5.82,9.11,77.221672,42.1,4530.668721479339,31.76074722,-2.431054595,60.681000000000004,6.8,5.0,808.133213366763,6.209974060301191,28.7,77.1,17.1473789215088,52.4,,20.0,7.113401
Denmark,5772000.0,1.77,0.43,99.0,28.5,32757.227395595255,57.073535,3.0364245910000003,80.898,12.6,10.0,46682.514720466905,97.09936215556209,99.6,0.2,100.0,100.0,,88.0,45.38171
Djibouti,974000.0,2.67,6.170000000000001,67.900002,44.1,2054.714468212336,35.62813888,-0.223077108,67.112,4.1,4.0,2705.40558882684,55.6814092453962,47.4,22.5,51.7826919555664,90.0,19.7,31.0,18.872460999999998
Dominican Republic,10739000.0,2.34,2.99,92.465424,44.9,8541.163832554095,18.13044,-0.29305704899999996,74.081,7.8,8.0,14600.8605841474,63.87,84.0,1.6,100.0,84.7,10.4,30.0,13.731079999999999
Ecuador,17374000.0,2.41,1.4500000000000002,94.515472,46.5,10370.33865572977,,0.643758092,77.01,8.7,5.0,10581.9364286536,57.272243683102396,84.7,3.6,99.9368133544922,86.9,7.8,34.0,14.194064000000001
Egypt,100388000.0,3.1,2.2100000000000004,75.842621,31.8,9478.311131724606,37.38221904,-1.536419686,71.99,7.2,-4.0,10550.206495664599,44.950204245285704,94.7,1.3,100.0,99.4,4.8,35.0,
El Salvador,6454000.0,2.02,1.4500000000000002,87.648216,40.8,7528.210760733358,,0.24642504899999998,73.317,6.9,8.0,7292.45780376927,28.997073045597,75.0,2.2,98.618896484375,93.8,10.3,35.0,17.790209
Equatorial Guinea,1356000.0,4.43,8.959999999999997,95.195663,,24667.194001883487,35.66925744,0.004124115,58.735,5.5,-6.0,22604.8732922993,23.779999971073998,74.5,,67.889289855957,47.9,,16.0,7.785975
Eritrea,3497000.0,3.92,4.3100000000000005,73.845253,,1974.255845656352,36.5776711,-1.9641294999999999,66.321,4.0,-7.0,1510.45892910899,1.177118720157,15.7,,46.6804618835449,57.8,,24.0,15.11002
Estonia,1326000.0,1.67,0.27,99.823509,34.6,48535.788155300965,42.62489527,2.7139786060000004,78.745,12.7,9.0,29481.251806797798,88.10245687401991,97.2,0.5,100.0,99.6,2.8,73.0,32.966674
Ethiopia,112079000.0,3.86,5.8500000000000005,49.031521000000005,33.2,5777.953812560329,18.73085709,-1.9504934269999998,66.597,2.7,0.0,1729.9266389468,15.366923859589601,28.0,26.7,42.9,57.3,21.4,34.0,
Fiji,890000.0,2.45,2.53,93.699997,36.4,7299.990896153867,32.13688085,1.399055863,67.444,10.8,2.0,8702.975322021059,46.5069783122217,91.1,1.4,98.6460494995117,95.7,4.4,,27.038696999999996
Finland,5532000.0,1.78,0.23,100.0,26.8,68904.26245238872,54.862534,3.1540192910000004,81.908,12.4,10.0,40585.7210349228,87.4689290730615,97.6,0.0,100.0,100.0,,85.0,43.330519
France,65130000.0,1.97,0.42,99.0,32.3,42909.091626484216,58.48595,1.868426729,82.65899999999999,11.5,9.0,38605.6708967878,80.5,98.7,0.0,100.0,100.0,,72.0,46.231155
French Guiana,291000.0,3.21,,,,,,,79.952,,,,,,,,,,,
French Polynesia,279000.0,1.97,,98.0,,,,,77.657,,,,68.440419493378,98.5,,100.0,100.0,4.4,,
Gabon,2173000.0,3.59,4.83,83.237877,42.2,31468.725354038663,25.58873211,0.072854102,66.467,8.2,3.0,16562.4133558094,48.0522737506185,41.9,3.4,91.39550018310551,93.2,9.4,31.0,20.494221
Gambia,2348000.0,5.22,6.36,55.572762,47.3,1004.985978964549,29.61859907,0.641877161,62.05,3.5,-5.0,1561.7668428766299,18.5,58.9,10.1,47.7570877075195,90.2,9.6,37.0,10.221838
Georgia,3997000.0,1.97,1.08,99.759621,38.5,13698.632811913109,30.27121287,0.846184377,73.767,12.8,7.0,9745.07890399104,60.491257553378,86.3,4.2,100.0,100.0,7.4,58.0,25.837979
Germany,83517000.0,1.48,0.3700000000000001,99.0,31.4,44398.099691270116,47.05467,2.930530899,81.32600000000001,14.1,10.0,45229.2452947032,84.3955007745673,99.2,0.0,100.0,100.0,,80.0,37.544319
Ghana,30418000.0,3.81,4.93,76.575897,42.2,3896.637653846191,26.32325,0.23130234,64.074,7.1,8.0,4227.62984443235,34.66600065,14.9,12.0,79.3,88.7,6.1,41.0,12.549528
Greece,10473000.0,1.3,0.53,95.29287,35.8,25377.48681692608,56.89827,0.723140758,82.23899999999999,10.8,10.0,24574.382476123,69.0879154723892,99.0,1.5,100.0,100.0,,45.0,38.843658000000005
Guadeloupe,400000.0,1.9,,,,,,,82.13799999999999,,,,,,,,,,,
Guatemala,17581000.0,2.82,2.76,79.074211,48.7,9653.999220274809,,0.296720965,74.30199999999999,6.5,8.0,7423.80759192956,34.5093260915602,63.9,8.7,91.7792282104492,92.8,15.8,27.0,10.78232
Guinea,12771000.0,4.62,8.57,30.472790000000003,33.7,,23.44649825,0.002368991,61.602,2.6,4.0,1998.9257198823498,9.8,20.1,35.3,33.5,76.8,19.7,28.0,13.163892
Guinea-Bissau,1921000.0,4.41,8.42,59.77285,50.7,764.0954993160243,21.26292672,1.2016491040000001,58.321999999999996,3.0,6.0,1548.67470304471,3.761413832337,20.8,67.1,14.6557903289795,79.3,26.0,16.0,10.370042999999999
Guyana,783000.0,2.44,3.1300000000000003,87.53531600000001,44.5,7775.425910152715,,0.90521378,69.906,8.4,7.0,7435.0470900237,35.66,83.7,14.0,84.24290466308591,98.3,7.5,37.0,22.851663000000002
Haiti,11263000.0,2.77,7.170000000000001,60.68935,40.9,4568.2775910558585,33.955957,0.5902569529999999,64.001,5.3,0.0,1653.17250369424,12.2326016070408,27.6,23.5,38.69016647338871,57.7,45.8,20.0,13.731527999999999
Honduras,9746000.0,2.35,1.82,88.424583,50.1,7069.465878688868,26.557384999999996,-0.621338298,75.27,6.5,7.0,4541.79525706075,30.0,82.6,16.0,87.57662963867192,91.2,15.3,29.0,21.979026
Hong Kong,7436000.0,1.36,,93.5,,22916.730403209025,20.461962,,84.85700000000001,12.0,,56054.919832030304,89.41594464875651,,,100.0,,,76.0,13.574932999999998
Hungary,9685000.0,1.41,0.45,99.380882,30.9,28292.903334217863,52.31766,1.0897121779999999,76.875,11.9,10.0,26777.5607913953,76.75054712019221,98.0,0.5,100.0,100.0,,46.0,37.540668
Iceland,339000.0,1.91,0.21,99.0,25.6,203279.5260190737,49.88447,4.937323598,82.993,12.4,-20.0,46482.9582874747,98.2400162999185,98.8,0.0,100.0,100.0,,76.0,36.789971
India,1366418048.0,2.26,3.94,72.22530400000001,35.2,7413.294965217454,31.685709999999997,-1.394107965,69.656,6.4,9.0,6426.67440634599,29.547162885875398,39.6,21.2,84.5268173217773,94.1,14.8,41.0,17.575219
Indonesia,270625984.0,2.29,2.54,95.43768299999999,39.5,10279.884662206388,19.83875,-0.43393711100000004,71.71600000000001,8.0,9.0,11188.7440161175,32.2924418958799,60.8,5.7,97.62,87.4,7.7,38.0,9.879192999999999
Iran,82914000.0,1.59,1.4900000000000002,87.172531,38.8,35163.19380949315,25.001489000000003,-1.3779358419999999,76.67699999999999,9.8,-7.0,19082.619603326002,60.416356152717896,90.0,0.2,100.0,96.2,4.9,28.0,7.974628999999999
Iraq,39310000.0,4.19,3.04,79.72176400000001,29.5,16438.961451553503,45.35017773,-2.388372091,70.604,6.8,6.0,15663.9860708075,49.359998889012296,85.6,2.5,100.0,86.6,27.7,18.0,1.377809
Ireland,4882000.0,1.98,0.35000000000000003,99.0,31.9,32795.15615519238,49.97858,2.7184008960000003,82.305,12.5,10.0,67335.2934089652,84.5153886280647,90.5,0.2,100.0,97.9,,73.0,22.870822
Israel,8519000.0,2.89,0.36000000000000004,97.099998,41.4,32306.69001443899,48.39927,-1.064022925,82.97200000000001,13.0,6.0,33132.3203044888,81.58118358716109,100.0,0.5,100.0,100.0,,61.0,32.506833
Italy,60550000.0,1.51,0.34,99.015793,34.7,28862.80652670178,54.502990000000004,1.368498227,83.512,10.2,10.0,35220.0837894122,61.301142762601096,99.5,2.0,100.0,100.0,,52.0,42.205890000000004
Jamaica,2948000.0,1.97,1.52,88.499901,45.5,11412.661330700288,,-0.026261613,74.475,9.8,9.0,8193.57064989072,44.3668563671334,81.8,1.7,98.2042694091797,93.8,8.9,44.0,25.788199
Japan,126860000.0,1.5,0.26,99.0,32.1,39874.120422129774,41.222902000000005,2.370679835,84.62899999999999,12.8,10.0,39002.2233247384,90.8730421537137,100.0,0.2,100.0,100.0,2.5,73.0,32.003607
Jordan,10102000.0,3.18,1.7000000000000002,98.014351,33.7,10798.693135418383,35.3144039,0.145846286,74.52600000000001,10.4,-3.0,8337.489701029,62.3021925670712,98.6,0.1,100.0,96.9,13.5,49.0,15.067294
Kazakhstan,18551000.0,2.54,1.0,99.787849,26.5,51574.85297992259,22.79110755,-0.158347042,73.597,11.8,-6.0,24055.588323854503,76.4267482325439,97.5,0.0,100.0,92.9,2.7,31.0,16.594704
Kenya,52574000.0,3.68,4.5600000000000005,78.023399,48.5,5971.150045247887,31.85596316,-1.201222357,66.699,6.5,9.0,2993.0284484752697,16.6,30.1,36.8,56.0,63.2,24.2,27.0,15.581335999999999
Kuwait,4207000.0,1.94,0.81,96.11770600000001,,104167.82026199953,38.56994152,0.694287592,75.48899999999999,7.3,-7.0,65530.5365781216,97.9999893344615,100.0,,100.0,99.0,,41.0,1.65467
Kyrgyzstan,6416000.0,2.86,2.0,99.50131999999999,29.0,7564.169538171535,37.37230975,-0.403234839,71.45,10.9,7.0,3393.4736128414397,34.5,93.3,1.4,99.99610137939449,90.0,6.5,29.0,24.73011
Laos,7169000.0,2.54,6.34,79.867462,36.4,,21.7003218,0.91023329,67.923,5.2,-7.0,6397.35982538814,21.87,70.9,22.7,87.0957717895508,75.7,16.6,29.0,12.238808
Latvia,1907000.0,1.59,0.42,99.89269300000001,35.1,25316.6876468942,40.21468676,2.059508776,75.292,12.8,8.0,25063.8455453213,81.3158617001063,87.8,0.7,100.0,99.3,2.9,58.0,30.20492
Lebanon,6856000.0,1.7,0.78,94.051102,31.8,15553.56694713933,39.25997436,-0.23126407,78.93,8.7,6.0,13367.5650219298,76.11,80.7,0.0,100.0,99.0,10.9,28.0,15.529584
Lesotho,2125000.0,2.95,8.590000000000002,79.36093100000001,54.2,111.47225401770784,63.85051645,0.2225541,54.331,6.3,8.0,2851.15275428862,27.36,30.3,59.6,29.7333087921143,81.8,12.8,41.0,28.165442
Liberia,4937000.0,4.38,7.4700000000000015,47.60014,33.2,,31.614610499999998,0.978316668,64.104,4.7,6.0,752.787839463112,7.31910641139578,16.9,38.6,19.8,75.6,38.8,32.0,
Libya,6777000.0,2.16,1.2400000000000002,91.38887,,33496.07391102802,66.58626921,-1.9757514319999998,72.913,7.3,0.0,17881.5093512674,20.27215956269,96.6,,98.5367279052735,71.2,,17.0,1.192523
Lithuania,2760000.0,1.68,0.43,99.82328000000001,37.7,27764.0105109626,40.26541671,2.225502696,75.933,13.0,10.0,29524.264600668397,77.61525651245141,92.4,0.7,100.0,96.6,,59.0,29.605807000000002
Luxembourg,616000.0,1.61,0.26,100.0,31.2,76157.95665058537,,5.129846482,82.25,12.1,10.0,94277.9653571589,97.82762612993722,97.6,0.2,100.0,100.0,,81.0,38.708555
Macao,640000.0,1.39,,96.2276,,,,,84.244,5.46,,104861.851096529,83.17408906882591,,,100.0,,11.4,,28.158875
Macedonia,2083000.0,1.56,1.37,97.843758,35.6,14683.533125230177,32.02562541,0.8484066720000001,75.797,9.6,9.0,13111.213574425501,72.1568144676058,90.9,5.0,100.0,99.4,4.1,37.0,25.543343
Madagascar,26969000.0,4.02,4.420000000000001,64.65630300000001,42.7,,16.72470907,-0.23040146,67.041,6.1,6.0,1416.4395072846398,9.8,12.0,77.6,22.9,51.5,43.1,25.0,11.45087
Malawi,18629000.0,4.38,5.54,65.963829,46.1,,38.30150102,0.43562612799999995,64.263,4.5,6.0,1095.0420887580099,11.47,41.0,71.4,11.0,90.2,26.3,32.0,17.501414
Malaysia,31950000.0,1.98,0.79,94.636993,46.3,34512.50537109333,30.65710241,-0.21265187600000002,76.156,10.2,5.0,26808.1640645679,80.14047901039609,96.0,0.0,100.0,98.2,2.9,47.0,13.130089000000002
Maldives,531000.0,1.98,0.79,99.321022,38.4,10347.159817895075,45.59444801,0.5559452570000001,78.921,6.3,,15183.6163982888,59.0925899654109,97.9,7.3,100.0,98.6,11.0,31.0,19.486416000000002
Mali,19658000.0,5.79,10.6,33.068871,33.0,,25.30659926,-1.197660938,59.306000000000004,2.3,5.0,2014.30586969334,11.1121864890589,24.7,49.7,35.0694999694824,77.0,6.0,32.0,15.164975
Malta,440000.0,1.49,0.6400000000000001,94.066612,,20718.896464913763,,2.8031736339999997,82.53,11.3,,36513.323442225,80.07137783986249,100.0,0.0,100.0,100.0,,54.0,32.699849
Martinique,376000.0,1.87,,,,,,,82.545,,,,,,,,,,,
Mauritania,4526000.0,4.49,7.9,52.123562,32.4,,29.95406875,-0.06432388,64.925,4.5,-2.0,3597.63253011137,18.0,40.0,6.0,41.652107238769496,57.9,11.3,27.0,17.370335
Mauritius,1270000.0,1.42,1.31,90.616043,35.8,12925.839813979212,27.63561388,0.9581803990000001,74.991,9.3,10.0,20292.7446336139,52.191325935652294,93.1,0.5,98.7817840576172,99.9,5.8,51.0,18.695201
Mayotte,266000.0,3.63,,,,,,,79.455,,,,,,,,,,,
Mexico,127576000.0,2.09,1.34,94.54559300000001,48.2,17305.64831003057,27.97363,-1.4230183859999999,75.054,8.6,8.0,17336.469071694,63.8522490942939,85.2,2.5,100.0,96.1,3.8,28.0,13.701247
Moldova,4043000.0,1.23,1.55,99.244392,27.0,10796.533404454003,39.80546212,0.48455235700000004,71.90100000000001,11.6,9.0,5189.97166016505,70.9999991066624,76.4,0.2,100.0,88.4,,33.0,27.945003000000003
Mongolia,3225000.0,2.63,1.72,98.367638,32.0,21378.724903348088,45.40481814,0.47747559999999994,69.87,10.1,10.0,11840.8461179669,22.265770500756197,59.7,0.5,81.775032043457,64.4,18.7,37.0,20.360968
Montenegro,628000.0,1.65,0.35000000000000003,98.719948,31.9,17890.011482607257,45.22511571,1.557095013,76.884,11.3,9.0,16409.2876960117,71.2723325399382,95.9,0.0,100.0,99.7,,45.0,36.090035
Morocco,36472000.0,2.38,2.33,71.710548,40.7,6432.599036566207,36.85342098,0.335490756,76.68,5.5,-4.0,7485.01295069865,61.7622120123071,76.7,1.0,100.0,85.4,3.9,43.0,21.75013
Mozambique,30366000.0,5.05,7.240000000000001,58.836552000000005,45.6,4972.968963172721,35.34428315,-0.087209576,60.854,3.5,5.0,1136.10256446235,17.5212390868424,20.5,62.9,24.198339462280302,51.1,30.5,23.0,20.883470000000003
Myanmar,54045000.0,2.15,4.86,93.09005,38.1,4324.8354315913875,20.14819018,-2.467334008,67.134,4.9,-3.0,5591.5968799618,25.07330424,79.6,6.4,57.0093841552734,80.6,10.5,29.0,6.694305
Namibia,2495000.0,3.24,4.420000000000001,90.820503,61.0,8857.582096438964,38.2070239,1.54286351,63.708,6.8,6.0,9541.80829205217,31.0333459383454,34.4,13.4,51.78242492675779,91.0,25.4,53.0,30.818944000000002
Nepal,28609000.0,2.02,3.370000000000001,64.66364300000001,32.8,4799.9857378609995,19.56251022,0.261589965,70.778,4.9,6.0,2442.80394231834,19.688763836629,45.8,15.0,90.7,91.6,9.5,31.0,20.952236
Netherlands,17097000.0,1.75,0.39,99.0,28.6,49230.30006157642,51.53351,3.410230213,82.28299999999999,12.2,10.0,48472.544541153096,93.1972789115646,97.7,0.0,100.0,100.0,,82.0,38.751886
New Caledonia,283000.0,2.11,,96.93782,,,,,77.55,,,,74.00175279141,100.0,,100.0,98.5,11.6,,
New Zealand,4783000.0,1.96,0.53,99.0,,51692.15508410039,35.45647,3.445404703,82.288,12.5,10.0,36085.842777197206,88.470186347099,,,100.0,100.0,,87.0,32.830021
Nicaragua,6546000.0,2.12,1.72,82.471848,46.6,7082.7528197968795,35.57033,0.113044035,74.485,6.7,9.0,5321.44351591724,24.5718339595365,67.9,3.2,81.7967987060547,87.0,16.2,25.0,23.800556
Niger,23311000.0,7.07,8.450000000000001,19.1026,34.0,1753.0378517187446,19.96558739,-0.467373905,62.42,2.0,6.0,926.0001419596581,10.2243115586561,10.9,44.5,16.2172336578369,58.2,14.4,34.0,13.11558
Nigeria,200964000.0,5.32,10.02,59.56808100000001,43.0,8878.241608538547,30.61039636,-2.058687075,54.687,6.2,7.0,5338.45412665139,25.67,29.0,53.5,59.3,68.5,11.5,27.0,7.1707
North Korea,25666000.0,1.88,1.9,99.999237,,5515.4005550087,,-2.437614552,72.274,,-10.0,,0.0,81.9,,39.244224548339794,99.7,43.4,14.0,
Norway,5379000.0,1.83,0.26,100.0,26.8,67637.83920162448,46.35321,4.003323818999999,82.404,12.6,10.0,64800.0573263061,96.5085185390676,98.1,0.2,100.0,100.0,,84.0,38.255196000000005
Oman,4975000.0,2.46,1.13,93.971649,,71428.82228014925,38.42076702,0.806570325,77.861,9.5,-8.0,37960.7091885335,76.85,96.7,,100.0,93.4,5.4,52.0,2.528637
Pakistan,216564992.0,3.29,7.490000000000001,56.440311,30.7,5634.097890263561,23.02741,-1.5810483290000001,67.273,5.2,7.0,5034.70775633353,15.5145577897414,63.5,4.0,99.1474380493164,91.4,20.5,33.0,9.988357
Palestine,4981000.0,,2.09,96.668037,34.4,,,,74.053,9.1,,4449.8983245299605,61.17838482745999,92.3,1.0,100.0,58.4,,,5.594661
Panama,4246000.0,2.43,1.6100000000000003,95.03823100000001,51.0,12550.28365111968,29.29444,2.205342238,78.506,10.2,9.0,22267.0368216362,54.0,75.0,2.2,93.4178009033203,94.7,9.2,37.0,14.892589000000001
Papua New Guinea,8776000.0,3.52,5.34,63.433491000000004,41.8,,29.98026446,0.31711269,64.501,4.6,5.0,3823.19379963882,9.601538461538462,18.9,38.0,22.932153701782198,40.0,,28.0,13.938857
